Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2016,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1988,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2014,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2020,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1985,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2004,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2006,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2001,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2007,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2008,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2009,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2010,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
1998,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2017,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2018,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2003,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2012,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
1993,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.02
2000,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
2002,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.01
1992,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1995,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.02
1996,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.02
1997,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.02
1994,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0.02
1989,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1990,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1986,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1987,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
1991,Public spending on active labour market policies,CAN,Canada,Start-up incentives,Share of GDP,0
2015,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.07
2016,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.07
1988,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.23
2014,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.07
2020,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.06
2022,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.06
1985,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.34
2021,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.07
2004,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
2005,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
2006,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
2001,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.1
2019,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.06
2007,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
2008,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.09
2009,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.14
2010,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.13
1998,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.13
2017,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.06
2018,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.06
2003,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
1999,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.1
2011,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.1
2012,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
2013,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.08
1993,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.3
2000,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.09
2002,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.1
1992,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.32
1995,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.25
1996,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.16
1997,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.12
1994,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.28
1989,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.23
1990,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.24
1986,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.32
1987,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.26
1991,Public spending on active labour market policies,CAN,Canada,Training,Share of GDP,0.35
2020,Public spending on active labour market policies,CRI,Costa Rica,Placement and related services,Share of GDP,0
2022,Public spending on active labour market policies,CRI,Costa Rica,Placement and related services,Share of GDP,0
2021,Public spending on active labour market policies,CRI,Costa Rica,Placement and related services,Share of GDP,0
2019,Public spending on active labour market policies,CRI,Costa Rica,Placement and related services,Share of GDP,0
2018,Public spending on active labour market policies,CRI,Costa Rica,Placement and related services,Share of GDP,0
2020,Public spending on active labour market policies,CRI,Costa Rica,Direct job creation,Share of GDP,0.01
2022,Public spending on active labour market policies,CRI,Costa Rica,Direct job creation,Share of GDP,0.01
2021,Public spending on active labour market policies,CRI,Costa Rica,Direct job creation,Share of GDP,0.01
2019,Public spending on active labour market policies,CRI,Costa Rica,Direct job creation,Share of GDP,0.01
2018,Public spending on active labour market policies,CRI,Costa Rica,Direct job creation,Share of GDP,0.01
2020,Public spending on active labour market policies,CRI,Costa Rica,Employment incentives,Share of GDP,0
2022,Public spending on active labour market policies,CRI,Costa Rica,Employment incentives,Share of GDP,0
2021,Public spending on active labour market policies,CRI,Costa Rica,Employment incentives,Share of GDP,0
2019,Public spending on active labour market policies,CRI,Costa Rica,Employment incentives,Share of GDP,0
2018,Public spending on active labour market policies,CRI,Costa Rica,Employment incentives,Share of GDP,0
2020,Public spending on active labour market policies,CRI,Costa Rica,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,CRI,Costa Rica,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,CRI,Costa Rica,Start-up incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,CRI,Costa Rica,Start-up incentives,Share of GDP,0.01
2018,Public spending on active labour market policies,CRI,Costa Rica,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,CRI,Costa Rica,Training,Share of GDP,0.1
2022,Public spending on active labour market policies,CRI,Costa Rica,Training,Share of GDP,0.11
2021,Public spending on active labour market policies,CRI,Costa Rica,Training,Share of GDP,0.12
2019,Public spending on active labour market policies,CRI,Costa Rica,Training,Share of GDP,0.14
2018,Public spending on active labour market policies,CRI,Costa Rica,Training,Share of GDP,0.11
2015,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.06
2016,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2014,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.11
2020,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2022,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2021,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2004,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.1
2005,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.1
2006,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.1
2001,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2019,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2007,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2008,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2009,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2010,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.1
1998,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2017,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2018,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2003,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
1999,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2011,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2012,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2013,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.08
2000,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2002,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.07
2015,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
2016,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
1988,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.33
2014,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.12
2020,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
2022,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
1985,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.23
2021,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
2004,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
2005,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.06
2006,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
2001,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.09
2019,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.19
2007,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
2008,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.07
2009,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.07
2010,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
1998,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.24
2017,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.18
2018,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.2
2003,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
1999,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.17
2011,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.09
2012,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.08
2013,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.1
1993,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.45
2000,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.11
2002,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.1
1992,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.61
1995,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.44
1996,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.46
1997,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.34
1994,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.43
1989,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.3
1990,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.31
1986,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.22
1987,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.25
1991,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.48
2015,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
2016,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.1
1988,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.06
2014,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.15
2020,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.05
2022,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.06
1985,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.04
2021,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.05
2004,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.16
2005,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.15
2006,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.14
2001,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.16
2019,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.08
2007,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.13
2008,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.13
2009,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
2010,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
1998,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
2017,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.08
2018,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.08
2003,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.18
1999,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.16
2011,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
2012,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.14
2013,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.16
1993,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.15
2000,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.16
2002,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.15
1992,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.18
1995,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.1
1996,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.09
1997,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.12
1994,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.14
1989,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.05
1990,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.05
1986,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.04
1987,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.05
1991,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.08
2015,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2016,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1988,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.03
2014,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2022,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1985,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2004,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2006,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2001,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2007,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2008,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2009,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2010,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1998,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2017,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2018,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2003,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2012,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1993,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.05
2000,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
2002,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1992,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.03
1995,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.03
1996,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1997,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1994,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.05
1989,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1990,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1986,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.01
1987,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
1991,Public spending on active labour market policies,FIN,Finland,Start-up incentives,Share of GDP,0.02
2015,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.48
2016,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.47
1988,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.28
2014,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.5
2020,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.36
2022,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.28
1985,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.29
2021,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.34
2004,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.4
2005,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.37
2006,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.37
2001,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.31
2019,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.35
2007,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.36
2008,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.34
2009,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.41
2010,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.51
1998,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.52
2017,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.43
2018,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.38
2003,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.35
1999,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.46
2011,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.49
2012,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.49
2013,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.48
1993,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.51
2000,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.36
2002,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.3
1992,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.46
1995,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.51
1996,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.66
1997,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.64
1994,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.52
1989,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.24
1990,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.26
1986,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.29
1987,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.27
1991,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.34
2015,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2016,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2014,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.06
2020,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2022,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.07
2021,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2004,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.16
2005,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.17
2006,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.17
2001,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.12
2019,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.04
2007,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.16
2008,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.16
2009,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.1
2010,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.12
1998,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.08
2017,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2018,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.04
2003,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.16
1999,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.09
2011,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.05
2012,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.06
2013,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.06
2000,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.11
2002,Public spending on active labour market policies,FRA,France,Placement and related services,Share of GDP,0.14
2015,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.22
2016,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.22
1988,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.06
2014,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.2
2020,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.06
2022,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.07
1985,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.04
2021,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.06
2004,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.23
2005,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.18
2006,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.19
2001,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.4
2019,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.06
2007,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.2
2008,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.15
2009,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.15
2010,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.2
1998,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.3
2017,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.2
2018,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.11
2003,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.34
1999,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.36
2011,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.14
2012,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.13
2013,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.15
1993,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.24
2000,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.39
2002,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.4
1992,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.16
1995,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.28
1996,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.28
1997,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.23
1994,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.25
1989,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.05
1990,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.06
1986,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.07
1987,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.07
1991,Public spending on active labour market policies,FRA,France,Direct job creation,Share of GDP,0.13
2015,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.05
2016,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.06
1988,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.05
2014,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.04
2020,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.02
2022,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.05
1985,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.01
2021,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.04
2004,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.1
